naslov,avtor,cas_priprave,cas_kuhanja,stevilo_ocenjevalcev,ocena,dieta,zvrst
"Sichuan pepper, shiitake mushroom and garlic prawns",Paul Rankin,0-30,0-10,0,0.0,0,Recipe
Sichuan-style sea bass with wok-fried vegetables,James Martin,0-30,10-30,6,4.83,0,Main course
Sicilian brioche with almond granita,Matt Tebbutt,overnight,30-60,0,0.0,Vegetarian,Desserts
Sicilian fish with sweet potato chips,Hattie Ellis,0-30,30-60,8,3.88,0,Main course
Sicilian lemon and orange sweet bread,Paul Hollywood,00-120,30-60,2,5.0,Vegetarian,Cakes and baking
"Sicilian pasta with tomatoes, garlic and almonds",Nigella Lawson,0-30,10-30,7,4.57,0,Main course
Sicilian-style salmon with garlic mushrooms,Gino D&#x27;Acampo,0-30,10-30,17,4.65,0,Main course
Sicilian-style stew,Simon Rimmer,0-30,30-60,0,0.0,0,Main course
Sidecar,Wayne Collins,0-30,0-0,1,5.0,Vegetarian,Drinks and cocktails
Silk handkerchief pasta with pesto,Antonio Carluccio and Gennaro Contaldo,30-60,0-10,1,5.0,Vegetarian,Main course
Silk handkerchiefs with beurre blanc and confit egg yolks,Louis Korovilas,0-30,60-120,0,0.0,0,Recipe
Simnel cake cupcakes,Dan Lepard,0-30,30-60,2,5.0,Vegetarian,Cakes and baking
Simon Rimmer&#x27;s lasagne,Simon Rimmer,0-30,30-60,4,4.0,0,Main course
Simon Rimmer&#x27;s lemon cake,Simon Rimmer,0-30,30-60,16,3.5,Vegetarian,Cakes and baking
Simple Daiquiri,Andy Pearson,0-30,0-0,0,0.0,Vegetarian,Drinks and cocktails
Simple Thai noodle soup,Nigel Slater,0-30,10-30,15,4.67,0,Main course
Simple baba ganoush,Lesley Waters,0-30,10-30,3,4.33,Vegetarian,Starters and nibbles
"Simple baked doughnuts with prawns, chorizo and cheese",Cyrus Todiwala,0-30,10-30,0,0.0,0,Starters and nibbles
Simple beef stroganoff,The Hairy Bikers,0-30,00-120,1,4.0,0,Main course
Simple blackcurrant jam,Dan Lepard,0-30,30-60,12,4.0,Vegetarian,Other
Simple chicken and potato curry,Helen Mills,30-60,30-60,2,4.5,0,Main course
Simple chicken curry,Jo Pratt,60-120,10-30,13,4.85,0,Main course
Simple chocolate fudge cake,Sophie Grigson,0-30,30-60,3,2.67,Vegetarian,Cakes and baking
Simple fish dish,Kate Morris and Sally Brown,0-30,10-30,6,4.5,0,Main course
Simple fish in a bag ,Donal Skehan,0-30,10-30,3,3.33,0,Main course
Simple layered salad,The Hairy Bikers,0-30,10-30,0,0.0,0,Side dishes
Simple leek and potato soup,Brian Turner,0-30,10-30,1,5.0,Vegetarian,Recipe
"Simple miso, tofu and mushroom ramen",Justine Pattison,30-60,10-30,6,5.0,Vegetarian,Main course
Simple onion rings,Nick Nairn,0-30,10-30,1,5.0,0,Recipe
Simple roast chicken with sweet potato and spicy yoghurt,Donal Skehan,0-30,30-60,7,4.29,0,Main course
Simple roast turkey,John Torode,overnight,00-120,1,4.0,0,Main course
Simple sausage plait,Elizabeth Guy,0-30,30-60,1,5.0,0,Main course
Simple simnel cake,Mary Berry,30-60,60-120,1,5.0,Vegetarian,Cakes and baking
Simple smoked salmon pâté,Paul Hollywood,0-30,0-0,5,4.2,0,Starters and nibbles
Simple spaghetti all&#x27;arrabbiata,James Tanner,0-30,0-10,0,0.0,Vegetarian,Main course
Simple stuffed tomatoes,Aldo Zilli,0-30,0-10,0,0.0,Vegetarian,Recipe
Simple stuffing balls ,Justine Pattison,0-30,10-30,8,2.88,0,Side dishes
Simple sweet and sour chicken,Jo Pratt,0-30,0-10,1,5.0,0,Main course
Simple two-tiered wedding cake,Dan Lepard,0-30,00-120,0,0.0,Vegetarian,Cakes and baking
Simple vegetable broth,Nick Nairn,0-30,10-30,1,5.0,Vegetarian,Light meals and snacks
Simple white loaf and goats’ cheese and rosemary rolls,Nigel Slater,60-120,30-60,0,0.0,Vegetarian,Cakes and baking
Simplest-ever pork stroganoff,Sarah Cook,0-30,10-30,1,5.0,0,Main course
Singapore chilli crab with egg noodles,James Martin,0-30,10-30,0,0.0,0,Main course
Singapore chilli king crab with egg fried rice,James Martin,0-30,0-10,1,5.0,0,Main course
Singapore deep-fried hake with pad Thai noodles,James Martin,0-30,10-30,0,0.0,0,Main course
Singapore fried noodles with spiced duck breast,Paul Rankin,0-30,10-30,4,5.0,0,Main course
Singapore noodles,The Hairy Bikers,30-60,10-30,9,4.89,0,Recipe
Singapore rice noodles,Ken Hom,0-30,0-10,6,5.0,0,Main course
Singapore sling,Wayne Collins,0-30,0-0,0,0.0,Vegetarian,Drinks and cocktails
Singapore-style noodles,Ching-He Huang,0-30,0-10,14,4.36,0,Main course
"Sirloin steak tartare, lingonberries, chanterelles and flatbread",Niklas Ekstedt,60-120,10-30,1,4.0,0,Light meals and snacks
Sirloin steak with chunky chips,Paul Merrett,0-30,10-30,2,3.5,0,Main course
"Sirloin steak with peppercorn sauce, mash and hazelnut beans",James Martin,0-30,10-30,2,5.0,0,Main course
"Sirloin steak with spicy potato wedges, roasted tomatoes and red wine sauce",Nick Nairn,0-30,0,0,0.0,0,Main course
Sirloin steaks in a tomato and caper sauce,Gennaro Contaldo,0-30,10-30,0,0.0,0,Main course
Sizzling rice prawns with curried celery,Ken Hom,0-30,30-60,0,0.0,0,Main course
Skate wings with caper butter sauce and olive oil mash,James Martin,0-30,10-30,2,5.0,0,Main course
Skate with nut-brown butter and tomato and herb salad,James Tanner,0-30,0-10,0,0.0,0,Main course
Skewered chicken tikka with spicy lemon-scented rice,Lesley Waters,0-30,0-10,0,0.0,0,Main course
Skewered tiger prawns on charred pepper with a lime and chilli dressing,Gino D&#x27;Acampo,0-30,10-30,0,0.0,0,Recipe
Skinny beef lasagne,The Hairy Bikers,0-30,60-120,8,3.12,0,Main course
Skinny lemon cupcakes with drizzly icing,The Hairy Bikers,0-30,10-30,3,4.67,Vegetarian,Cakes and baking
Skull punch,Wayne Collins,0-30,10-30,0,0.0,0,Drinks and cocktails
Sliced steak with Italian-style roast potatoes and spicy kale,Gino D&#x27;Acampo,0-30,10-30,0,0.0,0,Main course
Sloe gin and blackberry jelly,Valentine Warner,0-30,10-30,1,1.0,0,Desserts
Sloe gin fizz,Wayne Collins,0-30,0-0,0,0.0,Vegetarian,Drinks and cocktails
Slow braised lamb shanks with olive oil mash,James Martin,30-60,00-120,2,5.0,0,Main course
Slow braised shoulder of lamb ragù with gnocchi,James Martin,0-30,00-120,4,4.0,0,Main course
Slow cooked gammon with mustard sauce,Mary Berry,0-30,00-120,8,4.88,0,Main course
Slow cooked pork ribs with braised monkfish and pickled cabbage,Matt Tebbutt,0-30,00-120,2,4.5,0,Main course
Slow cooker Bolognese,Gennaro Contaldo,0-30,00-120,19,5.0,0,Main course
Slow cooker Chinese-style beef,Justine Pattison,0-30,00-120,10,4.8,0,Main course
Slow cooker barbecue-style pork chops,Justine Pattison,0-30,00-120,8,4.0,0,Main course
Slow cooker bean chilli ,Justine Pattison,0-30,00-120,16,4.38,Vegetarian,Main course
Slow cooker beef brisket with bean mash,Rachel Manley,0-30,00-120,5,5.0,0,Main course
Slow cooker beef curry,Rachel Manley,0-30,00-120,55,3.58,0,Main course
Slow cooker beef hotpot,Jane Hornby,0-30,00-120,4,4.5,0,Main course
Slow cooker beef stew,Emily Angle,0-30,00-120,10,4.4,0,Main course
Slow cooker chicken casserole,Justine Pattison,0-30,00-120,12,4.25,0,Main course
Slow cooker chicken curry,Justine Pattison,0-30,00-120,13,4.92,0,Main course
Slow cooker chicken pho,Justine Pattison,0-30,00-120,16,4.75,0,Main course
Slow cooker chicken stew,Rachel Manley,0-30,00-120,18,4.56,0,Main course
Slow cooker chicken with lemon and olives,Jane Hornby,0-30,00-120,1,4.0,0,Main course
"Slow cooker chicken, ham and leek pie filling",Jane Hornby,0-30,00-120,6,4.83,0,Main course
Slow cooker chickpea tagine,Jane Hornby,0-30,00-120,24,4.67,Vegetarian,Main course
Slow cooker chilli con carne ,Jane Hornby,0-30,00-120,20,4.8,0,Main course
Slow cooker coq au vin,Jane Hornby,0-30,00-120,7,4.57,0,Main course
Slow cooker dal,Jane Hornby,0-30,00-120,27,4.52,Vegetarian,Main course
Slow cooker honey roast ham  ,Justine Pattison,0-30,00-120,19,4.63,0,Main course
Slow cooker lamb shanks,Rachel Manley,0-30,00-120,12,4.83,0,Main course
Slow cooker macaroni cheese ,Justine Pattison,0-30,00-120,14,3.21,Vegetarian,Main course
Slow cooker massaman curry,Jane Hornby,0-30,00-120,13,4.62,0,Main course
Slow cooker meatballs in tomato sauce ,Justine Pattison,0-30,00-120,14,4.71,0,Main course
Slow cooker minestrone,Jane Hornby,0-30,00-120,9,5.0,0,Main course
"Slow cooker pork shoulder with butterbeans, apple and sage",Jane Hornby,0-30,00-120,4,4.75,0,Main course
Slow cooker pulled pork,Rachel Manley,0-30,00-120,2,5.0,0,Main course
Slow cooker pulled pork buns,Emerald Lewis,0-30,00-120,5,4.6,0,Main course
Slow cooker rice pudding ,Justine Pattison,0-30,00-120,9,3.89,Vegetarian,Desserts
Slow cooker roast chicken,Justine Pattison,0-30,00-120,11,4.91,0,Main course
Slow cooker sausage  casserole ,Deborah Reddihough,0-30,00-120,5,4.2,0,Main course
Slow cooker vegan bean chilli ,Justine Pattison,0-30,00-120,14,4.93,Vegetarian,Main course
Slow cooker vegetarian hotpot ,Justine Pattison,0-30,00-120,43,4.77,Vegetarian,Main course
Slow roast belly of lamb,Nigel Slater,0-30,60-120,0,0.0,0,Main course
Slow roast duck with port and cherry sauce,Mary Berry,0-30,00-120,1,5.0,0,Main course
"Slow roast leg of lamb with chardonnay, rosemary, sage and bay",Lorraine Pascale,0-30,00-120,19,3.84,0,Main course
Slow roast leg of lamb with herb rub,Nigel Slater,0-30,00-120,25,4.28,0,Main course
Slow roast leg of lamb with peppercorn and nutmeg and pilau rice,Vivek Singh,30-60,00-120,7,3.71,0,Main course
"Slow roast pork shoulder with mash, cider and apple sauce",James Martin,0-30,00-120,1,5.0,0,Main course
Slow roast pork shoulder with roasted vegetable tabbouleh and apple BBQ sauce,James Martin,0-30,00-120,1,5.0,0,Main course
"Slow roast pork with mash, Vichy carrots and apple sauce",James Martin,30-60,00-120,0,0.0,0,Recipe
Slow roast shoulder of lamb with sliced potatoes,Mary Berry,0-30,00-120,37,4.76,0,Main course
Slow roast shoulder of pork with roasties and apple sauce with hispi cabbage,James Martin,0-30,00-120,2,5.0,0,Main course
Slow roasted lamb with minted Jersey Royals and mint sauce,James Martin,0-30,00-120,7,4.43,0,Main course
Slow roasted leg of lamb with braised fennel and onions,The Hairy Bikers,0-30,00-120,2,5.0,0,Main course
Slow roasted pork with fennel,James Martin,0-30,00-120,0,0.0,0,Main course
"Slow-baked shoulder of lamb in hay with apple, bubble and squeak and mint jelly",Galton Blackiston,30-60,00-120,0,0.0,0,Main course
Slow-braised breast of lamb with artichoke purée and purple sprouting broccoli,Galton Blackiston,overnight,00-120,1,4.0,0,Main course
Slow-braised octopus with potato salad and anchovy dressing,Matt Tebbutt,0-30,00-120,0,0.0,0,Main course
"Slow-braised pork belly with wilted greens, olives, capers and feta polenta",Maria Elia,0-30,00-120,0,0.0,0,Main course
Slow-cooked breast of lamb with aubergines ,Anthony Demetre,30-60,00-120,0,0.0,0,Main course
Slow-cooked chicken thighs with gravy,Jason Atherton,00-120,60-120,0,0.0,0,Main course
Slow-cooked chorizo and white beans,Matt Tebbutt,0-30,00-120,0,0.0,0,Main course
Slow-cooked family stew with polenta,Antonio Carluccio,0-30,60-120,1,5.0,0,Main course
Slow-cooked five-spice pork belly with three-cheese polenta,Andi Oliver,0-30,00-120,5,1.4,0,Main course
Slow-cooked ham,Nigella Lawson,overnight,00-120,11,5.0,0,Main course
Slow-cooked lamb breast with vegetables and an egg vinaigrette,Matt Tebbutt,0-30,00-120,0,0.0,0,Main course
Slow-cooked lamb shoulder,Tom Kerridge,0-30,00-120,26,4.77,0,Main course
Slow-cooked ox cheeks with honey-glazed apples and swede,Glynn Purnell,30-60,00-120,0,0.0,0,Main course
Slow-cooked pork knuckle and onions,Rick Stein,0-30,00-120,0,0.0,0,Main course
Slow-cooked roast chicken with gravy,Tom Kerridge,0-30,00-120,17,4.88,0,Main course
Slow-cooked shoulder of lamb with Jansson’s temptation and sautéed sprout tops,Matt Tebbutt,0-30,00-120,1,5.0,0,Main course
"Slow-cooked shoulder of lamb with braised vegetables, oregano and feta",Matt Tebbutt,0-30,00-120,0,0.0,0,Main course
Slow-cooked tomato and fennel stew with pearl barley,Rukmini Iyer,0-30,30-60,11,4.55,Vegetarian,Main course
Slow-cooked tomato sauce,Katie and Giancarlo Caldesi,0-30,30-60,1,5.0,Vegetarian,Other
Slow-cooker Brixton baked beans,Miss South,0-30,00-120,3,3.33,Vegetarian,Side dishes
Slow-cooker apple-glazed ribs,Miss South,0-30,00-120,2,4.0,0,Main course
Slow-cooker brownies,Miss South,0-30,00-120,0,0.0,Vegetarian,Cakes and baking
Slow-cooker chicken and vegetable tagine,Priya Tew,0-30,00-120,2,5.0,0,Main course
"Slow-cooker risotto with fennel, lemon and rocket ",Sarah Cook,0-30,00-120,6,5.0,0,Main course
Slow-cooker roast beef,Sarah Cook,0-30,00-120,2,5.0,0,Main course
Slow-cooker spring chicken and herb soup,Sarah Cook,0-30,00-120,3,4.67,0,Light meals and snacks
Slow-roast four-bone rib of beef with Yorkshire pudding,John Torode,0-30,00-120,1,5.0,0,Main course
Slow-roast hand and spring with crackling and onion gravy,Mary Berry,0-30,00-120,4,3.0,0,Main course
Slow-roast leg of lamb,Silvana Franco,0-30,00-120,4,4.0,0,Main course
Slow-roast pork chops with orange gremolata,Sophie Grigson,0-30,30-60,0,0.0,0,Main course
"Slow-roast pork with quinces, savoy cabbage and potato wedges",Sophie Grigson,30-60,00-120,0,0.0,0,Main course
Slow-roasted fennel seed and chilli-crusted pork with Hispi cabbage and crème fraîche mash,James Martin,0-30,00-120,0,0.0,0,Main course
Slow-roasted lamb shoulder and homemade mint sauce,James Martin,0-30,00-120,0,0.0,0,Main course
"Slow-roasted lamb shoulder, cumin and new season garlic",Freddy Bird ,0-30,00-120,0,0.0,0,Main course
"Slow-roasted lamb, racks and spiced meatballs with rich wine gravy",The Hairy Bikers,30-60,00-120,1,5.0,0,Main course
Slow-roasted pork belly with boulangère potatoes,James Martin,0-30,00-120,6,5.0,0,Main course
Slow-roasted pork belly with cider and apple sauce and creamy mash,James Martin,0-30,00-120,0,0.0,0,Main course
Slow-roasted shoulder of lamb with grilled vegetable and white bean salad and smoked aubergine,Paul Merrett,0-30,00-120,0,0.0,0,Main course
"Slow-roasted shoulder of lamb, braised summer vegetables and roasting juices",Raymond Blanc,00-120,00-120,1,5.0,0,Main course
"Slow-roasted shoulder of pork with sherry-roasted parsnips, mash and gravy ",James Martin,0-30,00-120,0,0.0,0,Main course
Small pork pies with quails’ eggs,Paul Hollywood,30-60,30-60,1,5.0,0,Light meals and snacks
Smashed avocado on toast,Rebecca Sargent,0-30,0-0,21,4.81,Vegetarian,Brunch
Smashed-fried potatoes,Anjum Anand,0-30,10-30,0,0.0,Vegetarian,Recipe
Smoked Texan chicken wings,Mary Berry,00-120,30-60,7,4.86,0,Main course
Smoked and confit salmon terrine,James Martin,60-120,0-10,0,0.0,0,Starters and nibbles
"Smoked aubergine, pepper and walnut salad with pomegranate",Sabrina Ghayour,0-30,30-60,1,5.0,Vegetarian,Side dishes
Smoked aubergines with garlic (mirza ghasemi),Sabrina Ghayour,0-30,60-120,15,4.53,Vegetarian,Side dishes
Smoked cheese and onion pasties,Julie Burcham,0-30,30-60,5,3.8,Vegetarian,Light meals and snacks
Smoked cheese and potato cakes,Simon Rimmer,0-30,10-30,0,0.0,Vegetarian,Recipe
Smoked chicken and spring onion risotto,Mark Sargeant,30-60,10-30,0,0.0,0,Main course
Smoked chicken bloomer,Ed Baines,0-30,0-0,0,0.0,0,Light meals and snacks
Smoked cockles on a bed of creamed corn and lemon salad,Kevin Dundon,30-60,10-30,0,0.0,0,Recipe
Smoked duck and asparagus spring rolls with plum sauce,James Tanner,0-30,0-10,1,5.0,0,Recipe
"Smoked eel with new potatoes, leeks and clam beurre blanc",James Martin,0-30,10-30,0,0.0,0,Main course
Smoked fish bubble and squeak,Nathan Outlaw,0-30,10-30,0,0.0,0,Brunch
Smoked fish pie with hard-boiled eggs,Rachel Allen,30-60,60-120,0,0.0,0,Main course
Smoked fishcakes with gooseberry chutney and celery and watercress salad,James Martin,0-30,30-60,1,5.0,0,Main course
Smoked garlic soup with parsley pesto,Gino D&#x27;Acampo,0-30,10-30,0,0.0,Vegetarian,Light meals and snacks
Smoked haddock Welsh rarebit with tomato chutney,James Martin,0-30,10-30,0,0.0,0,Light meals and snacks
Smoked haddock and cauliflower gratin,Mary Berry,0-30,30-60,23,4.83,0,Main course
Smoked haddock and leek risotto with roasted smoked haddock and parsley oil,James Martin,0-30,30-60,5,5.0,0,Main course
Smoked haddock and potato hash,Antony Worrall Thompson,0-30,10-30,1,1.0,0,Brunch
Smoked haddock broth with deep-fried eggs and chorizo oil,Matt Tebbutt,0-30,10-30,0,0.0,0,Light meals and snacks
Smoked haddock chowder,Simon Rimmer,0-30,30-60,6,5.0,0,Light meals and snacks
Smoked haddock chowder with leeks and sweetcorn,Nigel Slater,0-30,10-30,4,4.5,0,Light meals and snacks
Smoked haddock fish cake ,James Martin,0-30,30-60,0,0.0,0,Light meals and snacks
Smoked haddock fish cakes,James Martin,60-120,30-60,2,3.0,0,Main course
Smoked haddock fish cakes with chilli jam and watercress,James Martin,60-120,30-60,0,0.0,0,Starters and nibbles
Smoked haddock pasties,Tom Kerridge,60-120,30-60,1,5.0,0,Light meals and snacks
Smoked haddock pilaf,Simon Hopkinson,0-30,30-60,27,4.96,0,Recipe
Smoked haddock rarebit with chicory and radish salad,Nadiya Hussain,0-30,10-30,0,0.0,0,Light meals and snacks
"Smoked haddock rarebit, confit tomatoes and chive oil",James Martin,0-30,10-30,1,5.0,0,Light meals and snacks
Smoked haddock risotto with pancetta,Curtis Stone,0-30,10-30,6,4.83,0,Main course
Smoked haddock rissoles with chicory salad,Jon Rotheram,0-30,30-60,0,0.0,0,Light meals and snacks
Smoked haddock soufflé,Michel Roux,0-30,30-60,0,0.0,0,Recipe
Smoked haddock soufflé tart,Matt Tebbutt,0-30,30-60,4,3.0,0,Light meals and snacks
Smoked haddock soup,Pamela Wilkinson,0-30,30-60,0,0.0,0,Light meals and snacks
Smoked haddock with lentils and spinach ,Fiona Hunter,0-30,10-30,9,4.56,0,Main course
"Smoked haddock, parmesan and crème fraîche omelette ",Tom Kerridge,0-30,10-30,2,5.0,0,Main course
Smoked mackerel and black pudding kedgeree,Simon Rimmer,0-30,30-60,1,5.0,0,Brunch
Smoked mackerel and cabbage slaw with potato wedges,Michael Smith,0-30,30-60,1,5.0,0,Light meals and snacks
Smoked mackerel bruschetta,Simon Rimmer,0-30,0-10,0,0.0,0,Starters and nibbles
Smoked mackerel croquettes with chilli jam,James Martin,30-60,30-60,0,0.0,0,Light meals and snacks
Smoked mackerel fish cakes,Jo Pratt,0-30,10-30,1,5.0,0,Main course
Smoked mackerel pate and cucumber sandwich,Jackie Kearney,0-30,0-0,1,5.0,0,Light meals and snacks
Smoked mackerel pilau rice,Hala El-Shafie,0-30,30-60,57,4.74,0,Main course
Smoked mackerel pâté,Valentine Warner,0-30,0-0,23,4.57,0,Starters and nibbles
Smoked mackerel pâté choux with green pineapple chutney ,Nadiya Hussain,30-60,10-30,5,4.2,0,Starters and nibbles
Smoked mackerel pâté with treacle bread and beetroot pickle,Tom Brown,0-30,30-60,22,4.0,0,Light meals and snacks
"Smoked mackerel, radish, cucumber, dill and bulgur wheat grain bowl",Rebecca Sargent,0-30,10-30,1,5.0,0,Light meals and snacks
"Smoked mackerel, spinach and spring onion tart",Hemsley + Hemsley,0-30,30-60,2,5.0,0,Main course
